CustomerID,SimilarCustomerID,Score
C0001,C0072,0.9461051769363842
C0001,C0190,0.9415577271671418
C0001,C0069,0.9105496531690128
C0002,C0199,0.9982365684360944
C0002,C0025,0.9934620809563768
C0002,C0071,0.973715079531913
C0003,C0178,0.999865879448906
C0003,C0133,0.98706169870118
C0003,C0052,0.9754103448062152
C0004,C0108,0.9827182639674003
C0004,C0113,0.9785391786723804
C0004,C0012,0.9654988139733864
C0005,C0197,0.9953167594730895
C0005,C0130,0.9502003454619035
C0005,C0035,0.9500727303343954
C0006,C0117,0.9984084372142995
C0006,C0185,0.9538881367763729
C0006,C0011,0.9367227677406286
C0007,C0085,0.9998669294762257
C0007,C0120,0.9949897643552797
C0007,C0140,0.9798101409546568
C0008,C0109,0.9698722815670315
C0008,C0093,0.9365582499229672
C0008,C0098,0.9307192939474349
C0009,C0077,0.9997899920904881
C0009,C0032,0.9974206107805481
C0009,C0033,0.9817031601343669
C0010,C0029,0.99957123050574
C0010,C0031,0.9904300201174321
C0010,C0009,0.9807961382416003
C0011,C0048,0.9998279888669044
C0011,C0016,0.9997808516381224
C0011,C0064,0.9994750309311059
C0012,C0108,0.98460236420707
C0012,C0104,0.9718143504908034
C0012,C0004,0.9654988139733864
C0013,C0143,0.9999265905268067
C0013,C0046,0.9933566399089792
C0013,C0099,0.9861744175216884
C0014,C0128,0.9961184019336933
C0014,C0151,0.9951226288241956
C0014,C0097,0.9844326007917693
C0015,C0095,0.9923223457915739
C0015,C0123,0.9703522701074451
C0015,C0159,0.9542843611925671
C0016,C0048,0.999997149167357
C0016,C0064,0.9999342403768492
C0016,C0037,0.9998135178581482
C0017,C0075,0.9735986193393384
C0017,C0021,0.9571453782505621
C0017,C0109,0.9461741960663629
C0018,C0114,0.9719360888652222
C0018,C0096,0.9615123567715722
C0018,C0168,0.9331696367700006
C0019,C0119,0.9535183212528259
C0019,C0174,0.9469893448255104
C0019,C0191,0.944833079329395
C0020,C0140,0.9796729281741055
C0020,C0120,0.9462685197676154
C0020,C0007,0.9367167099388614
